1,1,achieve,達成する
1,2,allow,許可する
1,3,appear,現れる
1,4,apply,申し込む
1,5,approach,近づく
1,6,argue,主張する
1,7,arrange,手配する
1,8,avoid,避ける
1,9,believe,信じる
1,10,belong,属する
1,11,borrow,借りる
1,12,build,建てる
1,13,celebrate,祝う
1,14,choose,選ぶ
1,15,collect,集める
1,16,communicate,伝える
1,17,compare,比較する
1,18,complain,不平を言う
1,19,concentrate,集中する
1,20,concern,心配させる
1,21,conclude,結論づける
1,22,conduct,行う
1,23,confirm,確認する
1,24,connect,つなぐ
1,25,consider,考える
1,26,consist,成り立つ
1,27,contain,含む
1,28,continue,続ける
1,29,contribute,貢献する
1,30,control,制御する
1,31,convince,納得させる
1,32,create,作る
1,33,decide,決める
1,34,declare,宣言する
1,35,deliver,届ける
1,36,depend,依存する
1,37,describe,説明する
1,38,design,設計する
1,39,develop,発展させる
1,40,discover,発見する
1,41,discuss,議論する
1,42,divide,分ける
1,43,earn,稼ぐ
1,44,encourage,励ます
1,45,enjoy,楽しむ
1,46,establish,設立する
1,47,estimate,見積もる
1,48,explain,説明する
1,49,express,表現する
1,50,fail,失敗する
1,51,feed,餌を与える
1,52,fit,合う
1,53,focus,集中する
1,54,follow,従う
1,55,force,強制する
1,56,guess,推測する
1,57,handle,扱う
1,58,imagine,想像する
1,59,improve,改善する
1,60,include,含む
1,61,increase,増加する
1,62,indicate,示す
1,63,inform,知らせる
1,64,insist,主張する
1,65,invite,招待する
1,66,join,参加する
1,67,judge,判断する
1,68,lead,導く
1,69,learn,学ぶ
1,70,lend,貸す
1,71,manage,管理する
1,72,measure,測る
1,73,mention,言及する
1,74,notice,気づく
1,75,offer,提供する
1,76,organize,整理する
1,77,participate,参加する
1,78,perform,実行する
1,79,prepare,準備する
1,80,prevent,防ぐ
1,81,produce,生産する
1,82,protect,守る
1,83,provide,提供する
1,84,realize,気づく
1,85,receive,受け取る
1,86,recognize,認識する
1,87,reduce,減らす
1,88,refer,言及する
1,89,reflect,反映する
1,90,refuse,断る
1,91,regard,みなす
1,92,relax,くつろぐ
1,93,release,解放する
1,94,remain,残る
1,95,remove,取り除く
1,96,repair,修理する
1,97,replace,取り替える
1,98,reply,返事する
1,99,report,報告する
1,100,require,必要とする
1,101,respond,返答する
1,102,return,戻る
1,103,review,見直す
1,104,rise,上がる
1,105,save,節約する
1,106,search,探す
1,107,select,選ぶ
1,108,serve,仕える
1,109,share,共有する
1,110,solve,解決する
1,111,suggest,提案する
1,112,support,支援する
1,113,survive,生き残る
